Package,Zone,Dist,Mandal,GPName,zonemandalgp,LGDCode,USCNo,Previousreading,CurrentReading,LastDate,CurrentDate,AddlCharges,TotalAmount,NewAmount,ACDAmount,ArrearAmount,EnergyCharge,FixedCharge,CustCharge,Adjustment,other,scno,name,eroarea,unit
Package-B,Khammam,Mahabubabad,Dornakal,KASNA THANDA,GP,278075,16809706,277,320,21-07-2022,24-08-2022,25,439,3791,0,3352,301,60,50,0,28,14821-00139,TELANGANA FIBER GRID CORPORATI,KORIVI,43
Package-B,Khammam,Mahabubabad,Dornakal,CHAPLA THANDA,GP,278109,16791514,701,882,28-07-2022,23-08-2022,25,1886,5185,0,3299,1674.3,70,105,0,36.7,14818-00860,TELANGANA FIBERGRID CORPORATIO,KORIVI,181
Package-B,Khammam,Mahabubabad,Dornakal,VENNARAM,GP,213451,16788325,126,139,12-07-2022,05-08-2022,150,352,1126,0,774,91,60,50,0,151,14807-01636,TELANGANA FIBERGRID CORPORATIO,KORIVI,13
Package-B,Khammam,Mahabubabad,Dornakal,RAMU THANDA,GP,278119,16791507,69,79,28-07-2022,22-08-2022,25,206,726,0,520,70,60,50,0,26,14823-00067,TELANGANA FIBERGRID CORPORATIO,KORIVI,10
Package-B,Khammam,Mahabubabad,Dornakal,THODELLAGUDEM,GP,278098,16791508,100,100,25-07-2022,13-08-2022,0,175,597,0,422,65,60,50,0,0,14814-01480,TELANGANA FIBERGRID CORPORATIO,KORIVI,0
Package-B,Khammam,Mahabubabad,Dornakal,AMMAPALEM,GP,213438,16667932,578,642,25-07-2022,18-08-2022,0,708,1343,0,635,544,70,90,0,4,14811-00839,TELANGANA FIBER GRID CORPORATI,KORIVI,64
Package-B,Khammam,Mahabubabad,Dornakal,BANJARA,GP,213439,16823166,180,210,26-07-2022,17-08-2022,25,347,2436,0,2089,210,60,50,0,27,14819-00898,TELANGANA FIBER GRID CORPORATI,KORIVI,30
Package-B,Khammam,Mahabubabad,Kuravi,CHINTHAPALLE,GP,213713,16807329,87,89,06-08-2022,06-09-2022,25,200,725,0,525,65,60,50,0,25,14712-01221,TELANGANA FIBER GRID CORPORATI,KORIVI,2
Package-B,Khammam,Mahabubabad,Kuravi,BEEBI NAIK THANDA,GP,278243,16436971,13,20,17-07-2022,20-08-2022,0,176,310,0,134,65,60,50,0,1,14735-00007,TELANGANA FIBER GRID CORPORATI,KORIVI,7
Package-B,Khammam,Mahabubabad,Kuravi,SUDHANAPALLY,GP,213729,16807333,170,220,21-07-2022,27-08-2022,0,463,739,0,276,350,60,50,0,3,14714-01158,TELANGANA FIBER GRID CORPORATI,KORIVI,50
Package-B,Khammam,Mahabubabad,Kuravi,CHANDYA THANDA,GP,278247,16809183,386,465,20-07-2022,19-08-2022,0,836,2159,0,1323,671.5,70,90,0,4.5,14717-00792,TELANGANA FIBER GRID CORPORATI,KORIVI,79
Package-B,Khammam,Mahabubabad,Kuravi,THATTUPALLE,GP,213731,16809333,258,323,20-07-2022,19-08-2022,0,717,1997,0,1280,552.5,70,90,0,4.5,14717-00791,TELANGANA FIBER GRID CORPORATI,KORIVI,65
Package-B,Khammam,Mahabubabad,Kuravi,CHEEMLA THANDA,GP,278233,16809307,60,99,29-07-2022,17-08-2022,25,519,1299,0,780,331.5,70,90,0,27.5,14738-00003,TELANGANA FIBER GRID CORPORATI,KORIVI,39
Package-B,Khammam,Mahabubabad,Kuravi,ELUKACHETLA THANDA,GP,278230,16809191,220,250,17-08-2022,04-09-2022,150,567,1622,0,1055,255,70,90,0,152,14729-00033,TELANGANA FIBER GRID CORPORATI,KORIVI,30
Package-B,Khammam,Mahabubabad,Kuravi,LINGYA THANDA(K),GP,278215,16809283,168,199,24-07-2022,22-08-2022,0,329,794,0,465,217,60,50,0,2,14747-00003,TELANGANA FIBER GRID CORPORATI,KORIVI,31
Package-B,Khammam,Mahabubabad,Kuravi,KURAVI,GP,213720,16511384,2439,2699,18-08-2022,13-09-2022,0,2693,5223,1680,2530,2460.4,70,120,0,42.6,14719-03610,TELANGANA FIBER GRID CORPORATI,KORIVI,260
Package-B,Khammam,Mahabubabad,Kuravi,AYYAGARIPALLE,GP,213711,16511356,66,90,21-07-2022,22-08-2022,0,280,414,0,134,168,60,50,0,2,14716-01526,TELANGANA FIBER GRID CORPORATI,KORIVI,24
Package-B,Khammam,Mahabubabad,Kuravi,JAGYA THANDA,GP,278226,16511351,159,179,24-07-2022,24-08-2022,0,252,392,0,140,140,60,50,0,2,14742-00006,TELANGANA FIBER GRID CORPORATI,KORIVI,20
Package-B,Khammam,Mahabubabad,Kuravi,MOGILICHERLA,GP,213722,16511369,1571,1735,19-07-2022,23-08-2022,0,1654,2748,1420,1094,1466.8,70,105,0,12.2,14720-01212,TELANGANA FIBER GRID CORPORATI,KORIVI,164
Package-B,Khammam,Mahabubabad,Kuravi,REKULA THANDA (K),GP,278219,16540679,330,356,29-07-2022,27-08-2022,0,294,721,0,427,182,60,50,0,2,14751-00001,TELANGANA FIBERGRID CORPORATIO,KORIVI,26
Package-B,Khammam,Mahabubabad,Kuravi,RAJOLE,GP,213726,16707555,657,689,28-07-2022,25-08-2022,0,337,337,0,0,224,60,50,0,3,14705-02253,TELANGANA FIBER GRID CORPORATI,KORIVI,32
Package-B,Khammam,Mahabubabad,Kuravi,NARAYANAPUR,GP,213724,16540678,762,799,27-07-2022,24-08-2022,150,522,7479,0,6957,259,60,50,0,153,14702-00925,TELANGANA FIBERGRID CORPOARATI,KORIVI,37
Package-B,Khammam,Mahabubabad,Kuravi,GUNDRATHIMADUGU,GP,213714,16707553,4,4,13-07-2022,20-08-2022,0,175,327,0,152,65,60,50,0,0,14706-02459,TELANGANA FIBER GRID CORPORATI,KORIVI,0
Package-B,Khammam,Mahabubabad,Kuravi,BANGARIGUDEM,GP,278130,16540687,15,30,24-07-2022,27-08-2022,0,217,415,0,198,105,60,50,0,2,14734-00004,TELANGANA FIBER GRID  CORPORAT,KORIVI,15
Package-B,Khammam,Mahabubabad,Narsimhulapet,RAMANNAGUDEM,GP,213964,16512937,1951,2064,04-08-2022,07-09-2022,0,1199,1199,3412,0,964.7,70,105,0,59.3,14419-00419,TELANGANA FIBER GRID CORPORATI,THORRUR,113
Package-B,Khammam,Mahabubabad,Narsimhulapet,MUNGIMADUGU,GP,213959,16512895,465,465,07-08-2022,07-09-2022,0,185,185,678,0,65,60,50,0,10,14415-00639,TELANGANA FIBER GRID CORPERATI,THORRUR,0
Package-C,KARIMNAGAR,PEDDAPALLI,DHARMARAM,BUCHAIAHPALLI,GP,278120,16469556,15,16,06-08-2022,04-09-2022,0,175,175,0,0,65,60,50,0,0,49026-00006,TELANGANA FIBER GRID CORPORATI,DHARMARAM,1
Package-B,Khammam,Mahabubabad,Narsimhulapet,NARSIMHULAPET,GP,213960,16540017,800,800,03-08-2022,03-09-2022,0,183,183,490,0,65,60,50,0,8,14465-00002,TELANGANA FIBER GRID  CORPORAT,THORRUR,0
Package-B,Khammam,Mahabubabad,Narsimhulapet,Pakeera Thanda,GP,279244,16686761,570,570,07-08-2022,07-09-2022,0,192,192,1140,0,65,60,50,0,17,14470-00001,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-C,KARIMNAGAR,PEDDAPALLI,DHARMARAM,DHARMARAM,Mandal,5003,16791358,1524,1980,09-08-2022,15-09-2022,25,5119,22717,4702,17598,4452.4,420,120,0,126.6,49021-05616,TELANGANA FIBER GRID CORPORATI,DHARMARAM,456
Package-B,Khammam,Mahabubabad,Narsimhulapet,Roopla Thanda,GP,279235,16488220,1138,1140,11-08-2022,07-09-2022,0,246,246,1180,0,65,111.6,50,0,19.4,14411-00697,TELANGANA FIBER GRID CORPORATI,THORRUR,2
Package-B,Khammam,Mahabubabad,Narsimhulapet,KOMMULAVANCHA,GP,213956,16489364,1199,1270,06-08-2022,07-09-2022,0,794,794,1698,0,603.5,70,90,0,30.5,14411-00987,TELANGANA FIBER GRID CORPORATI,THORRUR,71
Package-B,Khammam,Mahabubabad,Narsimhulapet,Gopa Thanda,GP,279249,16638594,22,22,03-08-2022,03-09-2022,25,200,400,0,200,65,60,50,0,25,14432-00113,TELANGANA FIBER GRID  CORPORAT,THORRUR,0
Package-B,Khammam,Mahabubabad,Chinnagudur,Chinnagudur,GP,213815,16444357,1120,1120,10-08-2022,08-09-2022,150,329,971,284,642,65,60,50,0,154,14321-01526,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Chinnagudur,Jayyaram,GP,213822,16512915,969,994,05-08-2022,08-09-2022,0,290,418,198,128,175,60,50,0,5,14322-01681,TELANGANA FIBER GRID CORPERATI,THORRUR,25
Package-B,Khammam,Mahabubabad,Chinnagudur,Mannegudem,GP,279115,16512914,1156,1182,05-08-2022,08-09-2022,0,303,278,540,-25,182,60,50,0,11,14322-01682,TELANGANA FIBER GRID CORPERATI,THORRUR,26
Package-B,Khammam,Mahabubabad,Chinnagudur,Pagidipally,GP,279106,16467603,1091,1176,05-08-2022,08-09-2022,0,895,895,490,0,722.5,70,90,0,12.5,14321-01556,TELANGANA FIBER GRID CORPORATI,THORRUR,85
Package-B,Khammam,Mahabubabad,Chinnagudur,Gundamrajupalli,GP,213953,16440944,2410,2826,05-08-2022,08-09-2022,0,4269,4269,2974,0,4007.9,70,120,0,71.1,14414-00654,TELANGANA FIBER GRID CORPORATI,THORRUR,416
Package-B,Khammam,Mahabubabad,Chinnagudur,Megya Thanda,GP,279229,16467600,1120,1140,05-08-2022,08-09-2022,0,258,394,386,136,140,60,50,0,8,14322-01677,TELANGANA FIBER GRID CORPORATI,THORRUR,20
Package-B,Khammam,Mahabubabad,Chinnagudur,Mangoligudem,GP,279128,16512913,610,610,05-08-2022,08-09-2022,25,200,525,0,325,65,60,50,0,25,14324-00737,TELANGANA FIBER GRID CORPERATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Chinnagudur,Uggampalle,GP,213829,16440473,1668,1749,08-08-2022,08-09-2022,0,897,897,2854,0,688.5,70,90,0,48.5,14319-01196,TELANGANA FIBER GRID CORPORATI,THORRUR,81
Package-B,Khammam,Mahabubabad,Chinnagudur,Veesampally,GP,213832,16512912,125,125,10-08-2022,08-09-2022,25,200,400,0,200,65,60,50,0,25,14313-00832,TELANGANA FIBER GRID CORPERATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Danthalapalle,DANTHALAPALLE,GP,213951,16564634,1175,1688,06-08-2022,10-09-2022,150,5415,16034,2196,10619,5009.4,70,120,0,215.6,14401-02506,TELANGANA FIBER GRID CORPORATI,THORRUR,513
Package-B,Khammam,Mahabubabad,Danthalapalle,PADAMATIGUDEM,GP,213961,16703899,1160,1267,03-08-2022,03-09-2022,0,1147,1147,2914,0,919.3,70,105,0,52.7,14421-00902,TELANGANA FIBER GRID CORPORATI,THORRUR,107
Package-B,Khammam,Mahabubabad,Danthalapalle,BEERISHETTIGUDEM,GP,213949,16690313,395,395,06-08-2022,04-09-2022,0,177,204,148,27,65,60,50,0,2,14420-00616,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Danthalapalle,VALYA THANDA,GP,279269,16690251,700,700,05-08-2022,04-09-2022,150,328,868,198,540,65,60,50,0,153,14455-00605,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Danthalapalle,DATLA,GP,213952,16713355,848,914,04-08-2022,04-09-2022,0,746,746,1360,0,561,70,90,0,25,14418-01639,TELANGANA FIBER GRID CORPORATI,THORRUR,66
Package-B,Khammam,Mahabubabad,Danthalapalle,LAXMIPURAM,GP,279277,16690287,780,884,04-08-2022,08-09-2022,150,1200,2032,0,832,884,70,90,0,156,14454-00960,TELANGANA FIBER GRID CORPORATI,THORRUR,104
Package-B,Khammam,Mahabubabad,Danthalapalle,REPONI,GP,213966,16690285,555,645,04-08-2022,08-09-2022,0,931,1101,0,170,765,70,90,0,6,14408-00975,TELANGANA FIBER GRID CORPORATI,THORRUR,90
Package-B,Khammam,Mahabubabad,Danthalapalle,RAMANUJAPURAM,GP,213965,16690304,721,801,05-08-2022,05-09-2022,0,870,870,1618,0,680,70,90,0,30,14422-00305,TELANGANA FIBER GRID CORPORATI,THORRUR,80
Package-B,Khammam,Mahabubabad,Danthalapalle,VEMULAPALLY,GP,213968,16690303,457,469,05-08-2022,08-09-2022,25,220,635,0,415,84,60,50,0,26,14407-00859,TELANGANA FIBER GRID CORPORATI,THORRUR,12
Package-B,Khammam,Mahabubabad,Danthalapalle,DONAKONDA,GP,279275,16690301,1495,1525,05-08-2022,08-09-2022,150,473,1903,0,1430,210,60,50,0,153,14453-00809,TELANGANA FIBER GRID CORPORATI,THORRUR,30
Package-B,Khammam,Mahabubabad,Danthalapalle,KUMMARIKUNTLA,GP,213958,16587558,1052,1052,04-08-2022,07-09-2022,150,329,1816,232,1487,65,60,50,0,154,14406-00971,TELANGANA FIBERGRID CORPORATIO,THORRUR,0
Package-B,Khammam,Mahabubabad,Danthalapalle,GUNNEPALLE,GP,213954,16587557,571,634,04-08-2022,08-09-2022,150,855,1373,370,518,535.5,70,90,0,159.5,14409-00907,TELANGANA FIBERGRID CORPORATIO,THORRUR,63
Package-B,Khammam,Mahabubabad,Danthalapalle,NIDANAPURAM,GP,279266,16588116,671,674,05-08-2022,08-09-2022,25,204,527,232,323,65,60,50,0,29,14423-000145,TELANGANA FIBERGRID CORPORATIO,THORRUR,3
Package-B,Khammam,Mahabubabad,Danthalapalle,AGAPETA,GP,213948,16588115,960,1121,05-08-2022,08-09-2022,150,1778,2565,216,787,1439.9,70,105,0,163.1,14405-00621,TELANGANA FIBERGRID CORPORATIO,THORRUR,161
Package-B,Khammam,Mahabubabad,Danthalapalle,PEDDAMUPPARAM,GP,213962,16690300,773,779,05-08-2022,05-09-2022,0,208,208,2116,0,65,60,50,0,33,14402-02500,TELANGANA FIBER GRID CORPORATI,THORRUR,6
Package-B,Khammam,Mahabubabad,Danthalapalle,RAMAVARAM,GP,279270,16738303,915,1150,06-08-2022,08-09-2022,0,2410,2410,2794,0,2178.1,70,105,0,56.9,14404-01069,TELANGANA FIBER GRID CORPORATI,THORRUR,235
Package-B,Khammam,Mahabubabad,Danthalapalle,THURPU THANDA,GP,279273,16588114,750,820,06-08-2022,10-09-2022,25,788,961,232,173,595,70,90,0,33,14437-00132,TELANGANA FIBERGRID CORPORATIO,THORRUR,70
Package-B,Khammam,Mahabubabad,Danthalapalle,BODLADA,GP,213896,16701360,824,950,06-08-2022,10-09-2022,0,1308,1308,2276,0,1090.6,70,105,0,42.4,14914-00626,TELANGANA FIBER GRID CORPORATI,THORRUR,126
Package-B,Khammam,Mahabubabad,Danthalapalle,BRAHMANAKOTHAPALLE,GP,213897,16738316,996,1114,06-08-2022,05-09-2022,0,1260,1260,2834,0,1033.8,70,105,0,51.2,14913-00968,TELANGANA FIBER GRID CORPORATI,THORRUR,118
Package-B,Khammam,Mahabubabad,Maripeda,GUNDEPUDI,GP,213821,16713530,698,769,07-08-2022,07-09-2022,0,769,769,0,0,603.5,70,90,0,5.5,14318-01710,TELANGANA FIBER GRID CORPORATI,THORRUR,71
Package-B,Khammam,Mahabubabad,Maripeda,BURHANPUR,GP,213813,16420841,652,716,07-08-2022,07-09-2022,0,727,727,1220,0,544,70,90,0,23,14317-02028,TELANGANA FIBER GRID CORPORATI,THORRUR,64
Package-B,Khammam,Mahabubabad,Maripeda,DSR Thanda,GP,279048,16420807,1205,1205,07-08-2022,07-09-2022,0,176,529,0,353,65,60,50,0,1,14330-02029,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Maripeda,THANAMCHERLA,GP,213828,16420839,5,10,09-08-2022,10-09-2022,0,175,309,0,134,65,60,50,0,0,14316-02054,TELANGANA FIBER GRID CORPORATI,THORRUR,5
Package-B,Khammam,Mahabubabad,Maripeda,MULAMARRI THANDA,GP,279043,16420888,10,41,09-08-2022,07-09-2022,0,329,504,0,175,217,60,50,0,2,14333-02040,TELANGANA FIBER GRID CORPORATI,THORRUR,31
Package-B,Khammam,Mahabubabad,Maripeda,VALYA THANDA,GP,279049,16420906,168,215,09-08-2022,07-09-2022,0,562,1364,0,802,399.5,70,90,0,2.5,14332-02030,TELANGANA FIBER GRID CORPORATI,THORRUR,47
Package-B,Khammam,Mahabubabad,Maripeda,THALLA OOKAL,GP,213827,16440468,9,12,07-08-2022,07-09-2022,0,175,160,0,-15,65,60,50,0,0,14315-01564,TELANGANA FIBER GRID CORPORATI,THORRUR,3
Package-B,Khammam,Mahabubabad,Maripeda,PAMBADA THANDA,GP,279038,16440957,868,899,07-08-2022,07-09-2022,150,479,1563,0,1084,217,60,50,0,152,14315-01565,TELANGANA FIBER GRID CORPORATI,THORRUR,31
Package-B,Khammam,Mahabubabad,Maripeda,GIRIPURAM,GP,213820,16440474,431,499,08-08-2022,06-09-2022,150,893,1875,0,982,578,70,90,0,155,14314-00614,TELANGANA FIBER GRID CORPORATI,THORRUR,68
Package-B,Khammam,Mahabubabad,Maripeda,Venkampad,GP,279018,16793567,867,993,07-08-2022,06-09-2022,150,1475,2902,1858,1427,1113,70,105,0,187,14362-00002,TELANGANA FIBER GRID CORPORATI,THORRUR,126
Package-B,Khammam,Mahabubabad,Maripeda,BAVOJIGUDEM,GP,213811,16761154,360,360,06-08-2022,03-09-2022,0,180,180,318,0,65,60,50,0,5,14355-00009,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Maripeda,Chinthalagadda Thanda,GP,279025,16793545,709,777,07-08-2022,06-09-2022,150,902,1206,660,304,578,70,90,0,164,14358-00003,TELANGANA FIBER GRID CORPORATI,THORRUR,68
Package-B,Khammam,Mahabubabad,Maripeda,CHILLAMCHERLA,GP,213814,16815841,240,302,06-08-2022,03-09-2022,150,847,3796,422,2949,527,70,90,0,160,14303-01236,TELANGANA FIBER GRID CORPORATI,THORRUR,62
Package-B,Khammam,Mahabubabad,Maripeda,NEELAKURTHY,GP,213824,16520129,1060,1060,06-08-2022,03-09-2022,0,2144,2523,1738,379,1929.1,70,105,0,39.9,14304-01218,TELANGANA FIBER GRID CORPERATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Maripeda,ANEPUR,GP,213810,16520119,1687,1820,08-08-2022,06-09-2022,0,1399,1399,1878,0,1185.1,70,105,0,38.9,14305-01175,TELANGANA FIBER GRID  CORPORAT,THORRUR,133
Package-B,Khammam,Mahabubabad,Maripeda,Yalamanchi Thanda,GP,278271,16698471,765,773,09-08-2022,06-09-2022,0,180,694,268,514,65,60,50,0,5,14360-00001,TELANGANA FIBER GRID CORPORATI,THORRUR,8
Package-B,Khammam,Mahabubabad,Maripeda,Venkatya Thanda,GP,278267,16520117,3149,3156,08-08-2022,06-09-2022,150,327,24476,0,24149,65,60,50,0,152,14363-00003,TELANGANA FIBER GRID  CORPORAT,THORRUR,7
Package-B,Khammam,Mahabubabad,Maripeda,STAGE THANDA,GP,278273,16520114,1920,1920,07-08-2022,04-09-2022,0,1479,1479,1778,0,1265.8,70,105,0,38.2,14353-00004,TELANGANA FIBER GRID  CORPORAT,THORRUR,0
Package-B,Khammam,Mahabubabad,Maripeda,LAKSHMA THANDA,GP,279102,16520112,725,734,09-08-2022,05-09-2022,0,176,176,0,0,65,60,50,0,1,14328-00187,TELANGANA FIBER GRID  CORPORAT,THORRUR,9
Package-B,Khammam,Mahabubabad,Maripeda,YELLAMPETA,GP,213833,16520110,804,910,06-08-2022,04-09-2022,0,1099,1099,0,0,917.8,70,105,0,6.2,14320-02031,TELANGANA FIBER GRID  CORPORAT,THORRUR,106
Package-B,Khammam,Mahabubabad,Maripeda,SOMLA THANDA,GP,279095,16520107,984,1016,06-08-2022,05-09-2022,0,336,336,0,0,224,60,50,0,2,14327-00054,TELANGANA FIBER GRID  CORPORAT,THORRUR,32
Package-B,Khammam,Mahabubabad,Maripeda,BOTYA THANDA,GP,279099,16520105,1096,1216,06-08-2022,05-09-2022,150,1392,2298,404,906,1053.6,70,105,0,163.4,14356-00001,TELANGANA FIBER GRID  CORPORAT,THORRUR,120
Package-B,Khammam,Mahabubabad,Maripeda,BALYA THANDA,GP,279087,16520148,974,999,09-08-2022,07-09-2022,25,312,911,0,599,175,60,50,0,27,14354-00001,TELANGANA FIBER GRID  CORPORAT,THORRUR,25
Package-B,Khammam,Mahabubabad,Maripeda,DHANTLAKUNTA THANDA,GP,279079,16520100,1462,1599,09-08-2022,05-09-2022,0,1439,1439,1360,0,1233.1,70,105,0,30.9,14359-00001,TELANGANA FIBER GRID  CORPORAT,THORRUR,137
Package-B,Khammam,Mahabubabad,Maripeda,VEERARAM,GP,213831,16592492,967,1000,06-08-2022,05-09-2022,0,343,343,0,0,231,60,50,0,2,14306-01803,TELANGANA FIBER GRID CORPORATI,THORRUR,33
Package-B,Khammam,Mahabubabad,Maripeda,THUMMALACHERUVU THANDA,GP,279232,16616788,530,542,10-08-2022,08-09-2022,0,225,225,1978,0,84,60,50,0,31,14313-00837,TELANGANA FIBER GRID CORPORATI,THORRUR,12
Package-B,Khammam,Mahabubabad,Maripeda,LUNAVATH THANDA,GP,279076,16713540,60,527,07-08-2022,04-09-2022,25,4887,5087,0,200,4604.3,70,160,0,52.7,14339-00002,TELANAGANA FIBER GRID  CORPORA,THORRUR,467
Package-B,Khammam,Mahabubabad,Maripeda,ULLEPALLE,GP,213830,16713538,120,120,07-08-2022,05-09-2022,25,200,400,0,200,65,60,50,0,25,14307-00953,TELANAGANA FIBER GRID  CORPORA,THORRUR,0
Package-B,Khammam,Mahabubabad,Maripeda,BHUKYA THANDA,GP,279067,16713529,689,689,25-08-2022,04-09-2022,0,176,825,0,649,65,60,50,0,1,14340-00503,TELANAGANA FIBER GRID  CORPORA,THORRUR,0
Package-B,Khammam,Mahabubabad,Maripeda,ABBAIPALEM,GP,213809,16463024,322,337,07-08-2022,05-09-2022,0,216,500,0,284,105,60,50,0,1,14312-14312,TELANGANA FIBER GRID CORPORATI,THORRUR,15
Package-B,Khammam,Mahabubabad,Maripeda,DHARAVATH THANDA,GP,278261,16755799,100,100,07-08-2022,14-09-2022,0,400,786,0,386,287,60,50,0,3,14335-00005,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Maripeda,DHARMARAM,GP,213816,16425597,10,10,07-08-2022,05-09-2022,0,175,350,0,175,65,60,50,0,0,14308-02022,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Maripeda,PURUSHOTTAMAIGUDEM,GP,213825,16425807,230,230,07-08-2022,14-09-2022,0,175,175,0,0,65,60,50,0,0,14310-00636,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Maripeda,GALIVARIGUDEM,GP,213819,16425806,1,1,07-08-2022,05-09-2022,0,175,350,0,175,65,60,50,0,0,14311-02002,TELANGANA FIBER GRID CORPORATI,THORRUR,0
Package-B,Khammam,Mahabubabad,Mahabubabad,DAMYA THANDA,GP,279436,16749562,16,16,03-08-2022,08-09-2022,25,200,400,0,200,65,60,50,0,25,14644-00802,TELANGNA FIBER GRID CORPARATIO,MAHABUBABAD,0
Package-B,Khammam,Mahabubabad,Mahabubabad,MALIALA,GP,213781,16749561,7,10,03-08-2022,07-09-2022,25,200,400,0,200,65,60,50,0,25,14612-01870,TELANGANA FIBERGRID CORPORATIO,MAHABUBABAD,3
Package-B,Khammam,Mahabubabad,Mahabubabad,MADHAVAPUR,GP,213780,16806638,98,105,03-08-2022,07-09-2022,25,201,782,0,581,65,60,50,0,26,14617-01102,TELANGANA FIBER GRID CORPORATI,MAHABUBABAD,7
Package-B,Khammam,Mahabubabad,Mahabubabad,THURPU THANDA,GP,279431,16806643,5,5,03-08-2022,07-09-2022,25,200,600,0,400,65,60,50,0,25,14656-00001,TELANGANA FIBER GRID CORPORATI,MAHABUBABAD,0
Package-B,Khammam,Mahabubabad,Mahabubabad,JARPULA THANDA,GP,279430,16806640,6,6,03-08-2022,07-09-2022,25,200,600,0,400,65,60,50,0,25,14655-00001,TELANGANA FIBER GRID CORPORATI,MAHABUBABAD,0
Package-B,Khammam,Mahabubabad,Mahabubabad,CHUOKLA THANDA,GP,279432,16698086,24,24,03-08-2022,07-09-2022,25,200,375,0,175,65,60,50,0,25,14645-00805,TELANGANA FIBER GRID CORPORATI,MAHABUBABAD,0
Package-B,Khammam,Mahabubabad,Mahabubabad,SADU THANDA,GP,279434,16546262,9,9,03-08-2022,08-09-2022,0,175,350,0,175,65,60,50,0,0,14641-00771,TELANGANA FIBERGRID CORPORATIO,MAHABUBABAD,0
Package-B,Khammam,Mahabubabad,Mahabubabad,LAXMA THANDA,GP,279440,16546266,14,14,03-08-2022,08-09-2022,0,175,350,0,175,65,60,50,0,0,14653-01109,TELANGANA FIBERGRID CORPORATIO,MAHABUBABAD,0
Package-B,Khammam,Mahabubabad,Mahabubabad,PARVATHIGIRI,GP,213784,16546267,311,346,04-08-2022,08-09-2022,0,357,806,0,449,245,60,50,0,2,14613-01779,TELANGANA FIBERGRID CORPORATIO,MAHABUBABAD,35
Package-B,Khammam,Mahabubabad,Mahabubabad,ROTIBANDA THANDA,GP,279391,16843683,3,3,07-07-2022,24-08-2022,0,175,175,0,0,65,60,50,0,0,14634-00110,TELANGANA FIBER GRID CORPORATI,MAHABUBABAD,0
Package-B,Khammam,Mahabubabad,Mahabubabad,KEVLA THANDA,GP,279393,16843608,252,369,20-07-2022,24-08-2022,25,1209,5508,0,4299,1001.5,70,105,0,32.5,14651-00002,TELANGANA FIBERGRID CORPORATIO,MAHABUBABAD,117
Package-B,Khammam,Mahabubabad,Mahabubabad,SINGARAM,GP,213788,16780749,0,5,16-07-2022,18-08-2022,25,200,359,0,159,65,60,50,0,25,14614-01100,TELANGANA FIBER GRID CORPORATI,MAHABUBABAD,5
Package-B,Khammam,Mahabubabad,Mahabubabad,JANJLIGONDA,GP,213777,16843635,1010,1010,19-07-2022,11-08-2022,25,201,13142,0,12941,65,60,50,0,26,14615-01131,TELANGANA FIBERGRID CORPORATIO,MAHABUBABAD,0
Package-B,Khammam,Mahabubabad,Mahabubabad,GUNDALAGADDA THANDA,GP,279380,16780748,367,496,25-07-2022,24-08-2022,0,1326,3216,0,1890,1142.7,70,105,0,8.3,14649-01058,TELANGANA FIBER GRID CORPORATI,MAHABUBABAD,129
Package-B,Khammam,Mahabubabad,Mahabubabad,AMANGAL,GP,213771,16546260,330,394,06-08-2022,04-09-2022,25,733,1080,0,347,544,70,90,0,29,14619-01623,TELANGANA FIBER GRID  CORPORAT,MAHABUBABAD,64
Package-B,Khammam,Mahabubabad,Mahabubabad,BALARAM THANDA,GP,279377,16546261,764,782,07-08-2022,04-09-2022,0,238,414,0,176,126,60,50,0,2,14650-01100,TELANGANA FIBER GRID  CORPORAT,MAHABUBABAD,18
Package-B,Khammam,Mahabubabad,Mahabubabad,AYODYA,GP,213773,16546264,321,395,05-08-2022,03-09-2022,0,794,969,0,175,629,70,90,0,5,14622-01430,TELANGANA FIBER GRID  CORPORAT,MAHABUBABAD,74
Package-B,Khammam,Mahabubabad,Mahabubabad,MUDUPUGAL,GP,213782,16546263,1133,1211,05-08-2022,03-09-2022,0,833,1317,302,484,663,70,90,0,10,14620-01452,TELANGANA FIBER GRID  CORPORAT,MAHABUBABAD,78
Package-B,Khammam,Mahabubabad,Mahabubabad,CHINNAKISTAPURAM,GP,279455,16843651,89,111,20-07-2022,25-08-2022,25,290,3706,0,3416,154,60,50,0,26,14639-01149,TELANGANA FIBER GRID CORPORATI,MAHABUBABAD,22
